Gene.ID,FPKM.WT_D,FPKM.WT_DTL6h,FPKM.WT_WL
AT1G59870,82.13079293,79.57065012,116.0638702
AT1G59880,0,0,0
AT1G59885,0,0,0
AT1G59890,2.452383067,2.686330291,3.465284401
AT1G59900,77.94437792,41.03048437,33.84781225
AT1G59910,14.22402356,10.92358474,4.347047245
AT1G59920,0,0,0.130696996
AT1G59930,0.031656889,0,0.392476688
AT1G59940,1.474882619,0.602836287,0.574353981
AT1G59950,0,0,0
AT1G59960,1.803474986,0.822848863,5.211162237
AT1G59970,7.978327409,7.968487801,2.148890232
AT1G59980,0.869498892,0.416834584,0.401735344
AT1G59990,2.077788712,5.666659053,6.622826088
AT1G60000,2.01625835,4.570919223,31.62668484
AT1G60010,8.554243824,4.135245404,14.75237819
AT1G60030,3.845564787,2.053664023,0.38539765
AT1G60040,0.049091357,0.011481845,0
AT1G60050,0.996378637,0.452721628,0.148105589
AT1G60060,5.12740588,1.239863431,0.559152944
AT1G60070,9.931980769,11.76596821,19.34182567
AT1G60075,0,0,0
AT1G60080,1.651229674,3.326033281,3.956053827
AT1G60090,0.115749936,0.018458482,0.007674053
AT1G60095,0.467976302,0.323149065,0.409545181
AT1G60110,0.175790126,0.151476606,0.667994344
AT1G60130,0.171014765,0.125708573,0.035633811
AT1G60140,41.50964361,42.51719131,9.88253304
AT1G60160,4.917226105,7.244135825,7.074052927
AT1G60170,8.854003731,5.955158577,4.090730465
AT1G60180,0,0,0.015365331
AT1G60190,3.018952276,5.189206209,0.124356411
AT1G60200,11.50295736,6.765913961,6.251025944
AT1G60220,4.429287825,6.486861358,6.739197659
AT1G60230,3.09553358,5.114663624,8.106560783
AT1G60240,0,0,0
AT1G60250,0,0,0
AT1G60260,0.086165247,0.759094723,2.924105332
AT1G60270,0.08672095,2.40412367,2.968757408
AT1G60280,0,0,0.013113516
AT1G60290,0,0,0
AT1G60300,0,0,0
AT1G60320,0,0,0
AT1G60330,0,0,0
AT1G60340,0,0,0
AT1G60350,0.019493806,0.022796769,0.028433043
AT1G60360,0.618120057,0.383736337,0.278262406
AT1G60370,0,0,0
AT1G60380,0.009808012,0.04587939,0.014305653
AT1G60390,4.385140136,3.178642678,1.997972598
AT1G60400,0,0,0
AT1G60410,0.005959535,0.013938596,0
AT1G60420,19.45244345,19.93969865,7.997936903
AT1G60430,6.627952121,4.693590557,4.011529439
AT1G60440,20.49028339,8.68739743,5.230539605
AT1G60450,0.534422611,0.044012205,0.043915029
AT1G60460,0.159398042,0.287597661,0.684193385
AT1G60470,0.09038628,0.390280677,0.060846713
AT1G60480,0.019657105,0,0
AT1G60490,9.730386985,9.719542358,9.397885248
AT1G60500,0,0,0
AT1G60505,1.096570254,1.133002423,1.958383658
AT1G60510,0,0,0.004837636
AT1G60520,0,0,0.031472438
AT1G60525,0.540287509,0.597368384,1.468631409
AT1G60530,0,0,0
AT1G60540,0,0.008592285,0.032149926
AT1G60545,1.639691854,1.249404808,1.214632624
AT1G60550,10.12049988,20.34430856,24.85324501
AT1G60560,0.918456724,1.335224929,1.8807378
AT1G60570,0.00819046,0,0.011946344
AT1G60580,0,0,0.192824089
